Year,Population
1951,304454
1952,316700
1953,326372
1954,334342
1955,343838
1956,350333
1957,356195
1958,361444
1959,366253
1960,372665
1961,384773
1962,395891
1963,407024
1964,417023
1965,427330
1966,440913
1967,458438
1968,479938
1969,500378
1970,520174
1971,547563
1972,558030
1973,568500
1974,584552
1975,594518
1976,605932
1977,618210
1978,627238
1979,636442
1980,648922
1981,667381
1982,684771
1983,697570
1984,708066
1985,724952
1986,746560
1987,767648
1988,792296
